Agency,Agency Type,Distribution Channel,Product Name,Gender,Duration,Destination,Net Sales,Commision (in value),Age
JZI,Airlines,Online,Basic Plan,M,11,HONG KONG,26.0,9.1,46
JZI,Airlines,Online,Basic Plan,M,23,MALAYSIA,33.0,11.55,31
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,1,HONG KONG,13.0,0.0,35
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,53,INDIA,20.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,41,JAPAN,44.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,87,PHILIPPINES,10.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,15,INDIA,25.0,0.0,36
SSI,Airlines,Online,Ticket Protector,Prefer not say,21,SINGAPORE,9.83,2.76,48
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,10,SINGAPORE,10.0,0.0,31
C2B,Airlines,Online,Bronze Plan,M,9,SINGAPORE,20.0,5.0,37
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,35,UNITED KINGDOM,66.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,17,HONG KONG,37.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,9,JAPAN,70.0,0.0,36
C2B,Airlines,Online,Silver Plan,F,88,SINGAPORE,72.0,18.0,31
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,36,CHINA,14.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,39,SINGAPORE,26.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,5,PHILIPPINES,10.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,34,AUSTRALIA,93.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,47,INDIA,10.0,0.0,31
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,58,SINGAPORE,20.0,0.0,24
C2B,Airlines,Online,Bronze Plan,M,10,SINGAPORE,13.5,3.38,23
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,42,ITALY,20.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,80,MYANMAR,40.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,22,PHILIPPINES,10.0,0.0,30
JZI,Airlines,Online,Basic Plan,M,13,PHILIPPINES,18.0,6.3,26
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,3,INDONESIA,10.0,0.0,49
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,87,UNITED STATES,80.0,0.0,34
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,22,HONG KONG,29.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,27,VIET NAM,30.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,41,CHINA,28.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,87,CHINA,34.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,13,CHINA,22.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,4,MALAYSIA,19.0,0.0,35
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,22,JAPAN,-9.9,5.94,25
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,57,SINGAPORE,20.0,0.0,42
JZI,Airlines,Online,Basic Plan,F,1,INDONESIA,18.0,6.3,26
C2B,Airlines,Online,Bronze Plan,F,33,SINGAPORE,16.0,4.0,53
JZI,Airlines,Online,Basic Plan,F,23,MYANMAR,18.0,6.3,25
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,32,CHINA,17.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,19,INDONESIA,20.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,68,MALAYSIA,11.0,0.0,35
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,67,"TAIWAN, PROVINCE OF CHINA",11.0,0.0,36
C2B,Airlines,Online,Bronze Plan,M,18,SINGAPORE,53.5,13.38,53
C2B,Airlines,Online,Gold Plan,M,13,SINGAPORE,88.0,22.0,41
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,33,UNITED ARAB EMIRATES,30.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,48,PAPUA NEW GUINEA,56.0,0.0,35
SSI,Airlines,Online,Ticket Protector,Prefer not say,73,SINGAPORE,2.44,0.68,48
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,57,SINGAPORE,-20.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,15,CHINA,53.0,0.0,36
C2B,Airlines,Online,Silver Plan,F,57,SINGAPORE,72.0,18.0,39
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,81,SINGAPORE,20.0,0.0,36
C2B,Airlines,Online,Bronze Plan,F,15,SINGAPORE,23.5,5.88,44
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,13,UNITED KINGDOM,36.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,2,THAILAND,15.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,29,AUSTRALIA,10.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,36,JAPAN,42.0,0.0,36
C2B,Airlines,Online,Bronze Plan,M,32,SINGAPORE,11.5,2.88,38
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,8,MALAYSIA,27.0,0.0,54
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,8,SINGAPORE,33.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,27,JAPAN,20.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,4,THAILAND,10.0,0.0,40
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,8,CHINA,15.0,0.0,35
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,66,THAILAND,29.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,42,CHINA,40.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,46,HONG KONG,13.0,0.0,36
KML,Travel Agency,Online,Value Plan,F,13,INDONESIA,48.0,18.24,48
C2B,Airlines,Online,Gold Plan,M,5,SINGAPORE,35.5,8.88,25
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,3,CHINA,11.0,0.0,35
C2B,Airlines,Online,Bronze Plan,M,31,SINGAPORE,56.5,14.13,25
JZI,Airlines,Online,Basic Plan,M,8,INDIA,26.0,9.1,29
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,33,HONG KONG,20.0,0.0,26
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,3,UNITED STATES,51.0,0.0,52
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,22,"TAIWAN, PROVINCE OF CHINA",38.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,38,JAPAN,56.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,55,TURKEY,65.0,0.0,35
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,31,CHINA,37.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,35,"TAIWAN, PROVINCE OF CHINA",49.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,64,CAMBODIA,31.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,26,CHINA,31.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,27,MYANMAR,10.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,27,THAILAND,20.0,0.0,35
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,15,SINGAPORE,28.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,28,INDONESIA,13.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,23,MALAYSIA,20.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,78,UNITED STATES,19.8,11.88,28
C2B,Airlines,Online,Bronze Plan,M,62,SINGAPORE,13.5,3.38,30
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,10,THAILAND,29.7,17.82,54
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,5,THAILAND,20.0,0.0,35
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,35,MALAYSIA,10.0,0.0,23
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,17,"KOREA, REPUBLIC OF",47.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,47,MALAYSIA,20.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,29,AUSTRALIA,49.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,58,CANADA,12.0,0.0,35
C2B,Airlines,Online,Bronze Plan,F,20,SINGAPORE,15.0,3.75,28
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,102,UNITED STATES,50.0,0.0,32
TST,Travel Agency,Offline,Travel Cruise Protect,M,29,THAILAND,30.0,10.5,24
JZI,Airlines,Online,Basic Plan,M,8,VIET NAM,22.0,7.7,27
C2B,Airlines,Online,Bronze Plan,M,9,SINGAPORE,20.0,5.0,27
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,31,MALAYSIA,14.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,31,CHINA,31.0,0.0,36
C2B,Airlines,Online,Bronze Plan,M,10,SINGAPORE,13.5,3.38,29
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,26,MALAYSIA,12.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,43,MALAYSIA,30.0,0.0,36
JZI,Airlines,Online,Basic Plan,M,16,CHINA,26.0,9.1,55
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,99,GERMANY,80.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,30,UNITED STATES,10.0,0.0,26
JZI,Airlines,Online,Basic Plan,F,17,INDONESIA,37.0,12.95,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,23,FRANCE,90.0,0.0,36
C2B,Airlines,Online,Bronze Plan,M,27,SINGAPORE,0.0,11.75,37
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,8,SINGAPORE,25.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,10,INDONESIA,10.0,0.0,37
JZI,Airlines,Online,Basic Plan,F,12,THAILAND,22.0,7.7,23
C2B,Airlines,Online,Bronze Plan,F,10,SINGAPORE,27.0,6.75,26
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,77,MALAYSIA,0.0,17.82,31
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,49,"KOREA, REPUBLIC OF",28.0,0.0,50
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,35,"TAIWAN, PROVINCE OF CHINA",15.0,0.0,35
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,45,FRANCE,80.0,0.0,36
C2B,Airlines,Online,Bronze Plan,F,47,SINGAPORE,32.5,8.13,37
JZI,Airlines,Online,Basic Plan,M,21,CHINA,26.0,9.1,51
JZI,Airlines,Online,Basic Plan,F,32,INDONESIA,30.0,10.5,35
JZI,Airlines,Online,Basic Plan,F,2,CHINA,22.0,7.7,32
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,53,PHILIPPINES,30.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,60,ICELAND,39.6,23.76,32
JZI,Airlines,Online,Basic Plan,F,2,HONG KONG,22.0,7.7,45
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,41,POLAND,64.0,0.0,36
JZI,Airlines,Online,Value Plan,F,13,"KOREA, REPUBLIC OF",45.0,15.75,39
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,46,AUSTRIA,79.0,0.0,36
JZI,Airlines,Online,Basic Plan,M,8,CHINA,22.0,7.7,40
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,27,HONG KONG,55.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,20,AUSTRALIA,23.0,0.0,36
C2B,Airlines,Online,Bronze Plan,M,34,SINGAPORE,53.5,13.38,32
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,20,SINGAPORE,31.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,30,THAILAND,21.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,56,THAILAND,28.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,13,CHINA,38.0,0.0,36
JZI,Airlines,Online,Basic Plan,M,99,HONG KONG,26.0,9.1,50
JZI,Airlines,Online,Basic Plan,M,67,CHINA,44.0,15.4,41
C2B,Airlines,Online,Bronze Plan,F,10,SINGAPORE,13.5,3.38,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,10,ITALY,10.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,25,VIET NAM,24.0,0.0,29
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,30,UNITED STATES,80.0,0.0,31
JZI,Airlines,Online,Basic Plan,M,10,THAILAND,18.0,6.3,48
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,18,THAILAND,13.0,0.0,35
C2B,Airlines,Online,Bronze Plan,M,4,SINGAPORE,18.0,4.5,45
RAB,Airlines,Online,Value Plan,M,24,BRUNEI DARUSSALAM,23.0,9.2,25
C2B,Airlines,Online,Silver Plan,M,13,SINGAPORE,54.5,13.63,34
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,39,JAPAN,42.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,8,CHINA,20.0,0.0,35
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,21,GERMANY,77.0,0.0,36
SSI,Airlines,Online,Ticket Protector,Prefer not say,34,SINGAPORE,0.19,0.05,48
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,19,HONG KONG,17.0,0.0,36
JZI,Airlines,Online,Basic Plan,M,3,INDONESIA,18.0,6.3,49
JZI,Airlines,Online,Basic Plan,M,9,HONG KONG,22.0,7.7,43
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,7,PHILIPPINES,10.0,0.0,23
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,37,CHINA,26.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,9,UNITED STATES,80.0,0.0,27
RAB,Airlines,Online,Value Plan,M,34,BRUNEI DARUSSALAM,23.0,9.2,26
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,3,THAILAND,27.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,4,MALAYSIA,44.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,63,UNITED STATES,29.7,17.82,32
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,2,THAILAND,9.9,5.94,54
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,29,JAPAN,49.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,92,HONG KONG,26.0,0.0,36
JZI,Airlines,Online,Value Plan,M,14,NETHERLANDS,67.0,23.45,46
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,1,INDIA,15.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,72,SINGAPORE,16.0,0.0,44
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,56,PHILIPPINES,20.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,22,ITALY,14.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,7,SINGAPORE,20.0,0.0,37
JZI,Airlines,Online,Basic Plan,M,6,MALAYSIA,22.0,7.7,54
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,3,MALAYSIA,0.0,17.82,45
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,4,MALAYSIA,25.0,0.0,43
TST,Travel Agency,Offline,Travel Cruise Protect,F,40,THAILAND,30.0,10.5,43
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,11,THAILAND,70.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,9,MYANMAR,20.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,5,MYANMAR,27.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,5,MALAYSIA,23.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,31,CHINA,24.0,0.0,36
C2B,Airlines,Online,Bronze Plan,M,13,SINGAPORE,29.5,7.38,29
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,30,SPAIN,29.7,17.82,52
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,4,AUSTRALIA,38.0,0.0,36
C2B,Airlines,Online,Silver Plan,M,8,SINGAPORE,18.5,4.63,28
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,37,JAPAN,42.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,60,INDONESIA,11.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,16,AUSTRALIA,62.0,0.0,36
C2B,Airlines,Online,Bronze Plan,M,8,SINGAPORE,17.0,4.25,34
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,20,"KOREA, REPUBLIC OF",33.0,0.0,36
JZI,Airlines,Online,Basic Plan,M,7,THAILAND,18.0,6.3,48
LWC,Travel Agency,Online,Single Trip Travel Protect Gold,M,20,MALAYSIA,25.0,16.25,40
JZI,Airlines,Online,Basic Plan,F,41,HONG KONG,35.0,12.25,25
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,15,MALAYSIA,20.0,0.0,36
C2B,Airlines,Online,Bronze Plan,M,16,SINGAPORE,20.0,5.0,43
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,30,VIET NAM,57.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,23,MALAYSIA,20.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,10,MALAYSIA,19.8,11.88,42
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,59,IRELAND,80.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,4,ITALY,19.8,11.88,54
JZI,Airlines,Online,Basic Plan,M,58,THAILAND,30.0,10.5,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,6,SINGAPORE,10.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,4,HONG KONG,28.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,51,INDONESIA,80.0,0.0,55
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,19,UNITED STATES,39.6,23.76,43
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,18,AUSTRALIA,39.6,23.76,30
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,33,UNITED KINGDOM,79.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,86,POLAND,63.0,0.0,36
C2B,Airlines,Online,Bronze Plan,M,25,SINGAPORE,16.0,4.0,28
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,5,HONG KONG,29.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,10,THAILAND,10.0,0.0,26
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,28,THAILAND,19.8,11.88,50
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,30,JAPAN,57.0,0.0,31
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,30,INDIA,36.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,10,CAMBODIA,20.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,12,"TANZANIA, UNITED REPUBLIC OF",0.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,6,HONG KONG,20.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,71,UNITED STATES,15.0,0.0,48
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,16,MALAYSIA,29.7,17.82,25
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,6,UNITED ARAB EMIRATES,62.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,5,AUSTRALIA,9.9,5.94,41
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,45,AUSTRALIA,38.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,61,INDONESIA,24.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,10,CHINA,25.0,0.0,35
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,38,"KOREA, REPUBLIC OF",84.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,10,CHINA,39.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,79,INDIA,35.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,82,SPAIN,11.0,0.0,36
C2B,Airlines,Online,Bronze Plan,F,6,SINGAPORE,11.5,2.88,31
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,12,VIET NAM,12.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,14,HONG KONG,26.0,0.0,36
JZI,Airlines,Online,Basic Plan,F,67,PHILIPPINES,42.0,14.7,35
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,25,UNITED STATES,20.0,0.0,39
JZI,Airlines,Online,Basic Plan,M,16,CHINA,26.0,9.1,33
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,19,UNITED KINGDOM,65.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,33,FRANCE,10.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,80,THAILAND,27.0,0.0,36
C2B,Airlines,Online,Bronze Plan,M,7,SINGAPORE,17.55,4.39,34
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,90,VIET NAM,80.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,46,HONG KONG,17.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,36,"TAIWAN, PROVINCE OF CHINA",47.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,15,JAPAN,36.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,14,CHINA,34.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,3,INDONESIA,10.0,0.0,28
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,49,UNITED KINGDOM,77.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,19,LAO PEOPLE'S DEMOCRATIC REPUBLIC,25.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,10,UNITED ARAB EMIRATES,68.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,8,SINGAPORE,25.0,0.0,36
C2B,Airlines,Online,Bronze Plan,M,0,SINGAPORE,14.4,3.6,49
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,77,PHILIPPINES,18.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,26,CHINA,10.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,7,CHINA,50.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,17,CHINA,69.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,43,CHINA,27.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,33,UNITED STATES,84.0,0.0,25
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,14,VIET NAM,36.0,0.0,36
JZI,Airlines,Online,Basic Plan,M,2,HONG KONG,22.0,7.7,34
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,38,INDONESIA,69.0,0.0,36
JZI,Airlines,Online,Basic Plan,F,29,CHINA,22.0,7.7,54
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,65,PHILIPPINES,23.0,0.0,36
ART,Airlines,Online,24 Protect,M,3,PHILIPPINES,33.65,11.78,48
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,97,MYANMAR,14.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,3,SINGAPORE,17.0,0.0,46
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,22,SINGAPORE,20.0,0.0,31
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,5,CHINA,78.0,0.0,36
JZI,Airlines,Online,Basic Plan,F,38,MYANMAR,58.0,20.3,48
C2B,Airlines,Online,Bronze Plan,M,30,SINGAPORE,69.5,17.38,50
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,51,CHINA,31.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,52,RUSSIAN FEDERATION,80.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,47,INDONESIA,20.0,0.0,24
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,48,UNITED STATES,20.0,0.0,28
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,8,MALAYSIA,9.9,5.94,47
C2B,Airlines,Online,Bronze Plan,F,6,SINGAPORE,21.0,5.25,52
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,26,THAILAND,28.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,2,MYANMAR,19.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,17,PHILIPPINES,14.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,9,HONG KONG,18.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,7,SINGAPORE,20.0,0.0,25
C2B,Airlines,Online,Silver Plan,F,12,SINGAPORE,41.5,10.38,36
C2B,Airlines,Online,Bronze Plan,M,48,SINGAPORE,47.0,11.75,26
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,28,HONG KONG,20.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,5,VIET NAM,10.0,0.0,35
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,7,MALAYSIA,43.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,12,UNITED STATES,80.0,0.0,48
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,12,INDIA,13.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,20,UNITED STATES,14.0,0.0,34
